,frequency,noSessions,prevGap,sessionAvgPrice,sessionChangeThumbnail,sessionDevice[android],sessionDevice[desktop],sessionDevice[ios],sessionDevice[mobile],sessionImageZoom,sessionNDivisions,sessionView360,sessionViewonly,sessionWatchVideo,twrt,observed,returnTime
66803,0.00000006834479,1,-1,42,10,0,1,0,0,0,1,0,2,0,-1,FALSE,13042800
56886,0.000000482,12,74646.28,36.666668,9,0,1,0,0,0,1,0,9,0,444291.7,FALSE,13042800
67435,0.00000012,1,-1,26.333334,0,0,1,0,0,0,1,0,6,0,-1,TRUE,5522893
35773,0.000000519,11,6236846,25.7475,11,0,1,0,0,0,1,0,4,0,2801559,FALSE,13042800
65725,0.00000006247951,1,-1,30,3,0,1,0,0,0,1,0,1,0,-1,FALSE,13042800
59150,0.000000346,8,334652.8,83.1,0,0,0,1,0,0,1,0,16,0,1564888,TRUE,5386235
2747,0.000003381,72,90384,29.803913,69,0,0,0,1,0,1,0,23,8,134115.7,TRUE,556948
18431,0.000008412,265,69731.17,31.7,9,0,1,0,0,4,2,0,5,0,94729.98,TRUE,27150
25658,0.000000992,17,59341.75,40.465332,30,0,1,0,0,0,1,0,18,4,688895.6,TRUE,9574705
71932,0.000001494,14,691849.8,40,2,0,1,0,0,0,1,0,2,0,735417.2,TRUE,1546920
28693,0.000010251,322,75695,69.82353,0,0,0,1,0,0,1,0,26,0,78104,TRUE,171300
53707,0.000000101,1,-1,15.5,0,0,1,0,0,0,1,0,2,0,-1,TRUE,12314698
5311,0.00000006384749,1,-1,6.99,1,0,1,0,0,0,1,0,1,0,-1,TRUE,6287355
67969,0.000000435,6,20334.93,61.666668,16,0,1,0,0,0,1,0,4,0,16255.57,FALSE,13042800
64925,0.000000116,2,155326.8,28.944445,23,0,0,0,1,0,2,0,11,0,155326.8,FALSE,13042800
62955,0.000000105,2,196207.5,7,1,0,1,0,0,0,1,0,1,0,196207.5,FALSE,13042800
59735,0.00000008886839,2,960450.4,35.25,0,0,1,0,0,0,1,0,2,0,960450.4,FALSE,13042800
769,0.000000499,15,1277548,18.3125,0,0,0,1,0,0,1,0,8,0,1330073,TRUE,5475388
64820,0.000000867,15,934509.3,16.5,1,0,1,0,0,0,1,0,1,0,725598.7,TRUE,492901
67221,0.000000138,2,791967,8.5,0,0,1,0,0,0,1,0,3,0,791967,FALSE,13042800
41090,0.000000815,1,-1,27.4,0,0,0,1,0,0,1,0,6,0,-1,FALSE,13042800
16023,0.000000377,3,10903.9,30,6,0,1,0,0,2,1,0,6,0,960027.9,FALSE,13042800
60263,0.000000338,7,3629117,9.928572,10,0,1,0,0,0,2,0,7,0,3138988,FALSE,13042800
44131,0.000000327,10,1662374,63.333332,0,0,1,0,0,0,1,0,3,0,2023285,FALSE,13042800
37194,0.00000028,5,164323,29.5,6,0,0,0,1,0,1,0,2,0,1259725,TRUE,1974121
6265,0.000000142,1,-1,5,0,0,1,0,0,0,1,0,1,0,-1,TRUE,4197554
54886,0.000000294,8,1031792,49.233334,6,0,1,0,0,0,2,0,15,0,1595452,FALSE,13042800
76820,0.000000836,4,668972.4,39.495003,0,0,1,0,0,0,1,1,2,0,671392.9,FALSE,13042800
860,0.000000835,26,521580,75,2,0,1,0,0,0,1,0,1,0,444351.4,TRUE,659111
15795,0.000000271,7,3557408,21.62375,0,0,1,0,0,0,2,0,9,0,2983358,FALSE,13042800
