,frequency,noSessions,prevGap,sessionAvgPrice,sessionChangeThumbnail,sessionDevice[android],sessionDevice[desktop],sessionDevice[ios],sessionDevice[mobile],sessionImageZoom,sessionNDivisions,sessionView360,sessionViewonly,sessionWatchVideo,twrt,observed,returnTime
66803,-0.079321204,-0.413973896,-0.499045316,0.205693214,0.199103687,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.336323354,-0.139018253,-0.518691351,FALSE,27674493.65
56886,-0.050783796,-0.182127075,-0.481020028,0.03060839,0.139706326,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,0.14882786,-0.139018253,-0.353257468,FALSE,33040463
67435,-0.075731067,-0.413973896,-0.499045316,-0.308618562,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.059094089,-0.139018253,-0.518691351,TRUE,13829744.65
35773,-0.048209043,-0.203204058,1.00698363,-0.327850562,0.258501049,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.197708722,-0.139018253,0.524479111,FALSE,13578631.37
65725,-0.079725855,-0.413973896,-0.499045316,-0.188247738,-0.216677844,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.518691351,FALSE,29048047
59150,-0.060161094,-0.26643501,-0.418235516,1.554940973,-0.394869929,-0.232598824,-1.026189265,2.127534089,-0.583819223,-0.213686563,-0.448184802,-0.056095268,0.633979074,-0.139018253,0.064000237,TRUE,12598413.22
2747,0.149237444,1.08249195,-0.477219798,-0.194684963,3.703548023,-0.232598824,-1.026189265,-0.470027721,1.712858982,-0.213686563,-0.448184802,-0.056095268,1.119130288,4.680812551,-0.468752538,TRUE,612676.3333
18431,0.496345385,5.150349811,-0.482206895,-0.132439436,0.139706326,-0.232598824,0.974479109,-0.470027721,-0.583819223,1.947695701,1.893897806,-0.056095268,-0.128401405,-0.139018253,-0.483417953,TRUE,64654.66667
25658,-0.015623696,-0.076742156,-0.484715656,0.155312499,1.38705092,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,0.772593707,2.270897149,-0.262178374,TRUE,10473746.58
71932,0.019024827,-0.139973107,-0.331982179,0.140036388,-0.276075206,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.336323354,-0.139018253,-0.244855907,TRUE,2430377.283
28693,0.623192299,6.351737885,-0.480766791,1.119095537,-0.394869929,-0.232598824,-1.026189265,2.127534089,-0.583819223,-0.213686563,-0.448184802,-0.056095268,1.327052237,-0.139018253,-0.48960869,TRUE,175850.5667
53707,-0.077036762,-0.413973896,-0.499045316,-0.664259721,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.336323354,-0.139018253,-0.518691351,TRUE,22171089.82
5311,-0.079631477,-0.413973896,-0.499045316,-0.943629512,-0.335472567,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.518691351,TRUE,21949678
67969,-0.054002466,-0.308588977,-0.494134741,0.851318706,0.555487857,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.197708722,-0.139018253,-0.512638161,FALSE,26737590.82
64925,-0.076013007,-0.392896912,-0.461537874,-0.222899933,0.971269388,-0.232598824,-1.026189265,-0.470027721,1.712858982,-0.213686563,1.893897806,-0.056095268,0.287442492,-0.139018253,-0.460854515,FALSE,30083526.92
62955,-0.076824909,-0.392896912,-0.451666314,-0.943301228,-0.335472567,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.445632474,FALSE,31980280
59735,-0.077905259,-0.392896912,-0.26712243,-0.015898571,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.336323354,-0.139018253,-0.161064031,FALSE,34587523
769,-0.049625684,-0.118896123,-0.190551991,-0.57192981,-0.394869929,-0.232598824,-1.026189265,2.127534089,-0.583819223,-0.213686563,-0.448184802,-0.056095268,0.079520544,-0.139018253,-0.023433782,TRUE,10340397.87
64820,-0.02420736,-0.118896123,-0.273386504,-0.631431308,-0.335472567,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.248511852,TRUE,1043163
67221,-0.074538848,-0.392896912,-0.307806595,-0.894058609,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.267016038,-0.139018253,-0.223799405,FALSE,26779017.92
41090,-0.027827951,-0.413973896,-0.499045316,-0.273601611,-0.394869929,-0.232598824,-1.026189265,2.127534089,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.059094089,-0.139018253,-0.518691351,FALSE,14270209.4
16023,-0.058041923,-0.371819928,-0.496412079,-0.188247738,-0.038485759,-0.232598824,0.974479109,-0.470027721,-0.583819223,0.867004569,-0.448184802,-0.056095268,-0.059094089,-0.139018253,-0.161221348,FALSE,18700055.77
60263,-0.060698297,-0.287511993,0.377287872,-0.847160858,0.199103687,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,1.893897806,-0.056095268,0.010213227,-0.139018253,0.650121602,FALSE,15813662.43
44131,-0.06149746,-0.224281042,-0.097626982,0.906032639,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.267016038,-0.139018253,0.234685826,FALSE,24647249.82
37194,-0.064708387,-0.329665961,-0.459365541,-0.204661944,-0.038485759,-0.232598824,-1.026189265,-0.470027721,1.712858982,-0.213686563,-0.448184802,-0.056095268,-0.336323354,-0.139018253,-0.049627997,TRUE,14128332.5
6265,-0.074241042,-0.413973896,-0.499045316,-1.008958053,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.518691351,TRUE,11240804
54886,-0.063760069,-0.26643501,-0.249895386,0.443152087,-0.038485759,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,1.893897806,-0.056095268,0.564671758,-0.139018253,0.075380864,FALSE,26295939.53
76820,-0.026356386,-0.350742945,-0.337506449,0.123458139,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,7.390072735,-0.336323354,-0.139018253,-0.268695586,FALSE,15777695.35
860,-0.026428221,0.112950698,-0.373097695,1.28903083,-0.276075206,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,-0.448184802,-0.056095268,-0.405630671,-0.139018253,-0.353235227,TRUE,940837
15795,-0.06536594,-0.287511993,0.359972055,-0.463226729,-0.394869929,-0.232598824,0.974479109,-0.470027721,-0.583819223,-0.213686563,1.893897806,-0.056095268,0.14882786,-0.139018253,0.592172566,FALSE,16005144.52
